"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","LIFEEXP","MEN","YR","A","2022",80.4,"P"
"ESP","LIFEEXP","TOT","YR","A","2018",83.5,
"ESP","LIFEEXP","TOT","YR","A","2019",84,
"ESP","LIFEEXP","TOT","YR","A","2020",82.4,
"ESP","LIFEEXP","TOT","YR","A","2021",83.3,
"ESP","LIFEEXP","TOT","YR","A","2022",83.2,"P"
"ESP","LIFEEXP","WOMEN","YR","A","2018",86.3,
"ESP","LIFEEXP","WOMEN","YR","A","2019",86.7,
"ESP","LIFEEXP","WOMEN","YR","A","2020",85.2,
"ESP","LIFEEXP","WOMEN","YR","A","2021",86.2,
"ESP","LIFEEXP","WOMEN","YR","A","2022",85.9,"P"
"SWE","LIFEEXP","MEN","YR","A","2018",80.9,
"SWE","LIFEEXP","MEN","YR","A","2019",81.5,
"SWE","LIFEEXP","MEN","YR","A","2020",80.6,
"SWE","LIFEEXP","MEN","YR","A","2021",81.3,
"SWE","LIFEEXP","MEN","YR","A","2022",81.5,"P"
"SWE","LIFEEXP","TOT","YR","A","2018",82.6,
"SWE","LIFEEXP","TOT","YR","A","2019",83.2,
"SWE","LIFEEXP","TOT","YR","A","2020",82.4,
"SWE","LIFEEXP","TOT","YR","A","2021",83.1,
"SWE","LIFEEXP","TOT","YR","A","2022",83.1,"P"
"SWE","LIFEEXP","WOMEN","YR","A","2018",84.3,
"SWE","LIFEEXP","WOMEN","YR","A","2019",84.8,
"SWE","LIFEEXP","WOMEN","YR","A","2020",84.2,
"SWE","LIFEEXP","WOMEN","YR","A","2021",84.9,
"SWE","LIFEEXP","WOMEN","YR","A","2022",84.8,"P"
"CHE","LIFEEXP","MEN","YR","A","2018",81.9,
"CHE","LIFEEXP","MEN","YR","A","2019",82.1,
"CHE","LIFEEXP","MEN","YR","A","2020",81,
"CHE","LIFEEXP","MEN","YR","A","2021",81.8,
"CHE","LIFEEXP","MEN","YR","A","2022",81.6,"P"
"CHE","LIFEEXP","TOT","YR","A","2018",83.8,
"CHE","LIFEEXP","TOT","YR","A","2019",84,
"CHE","LIFEEXP","TOT","YR","A","2020",83.1,
"CHE","LIFEEXP","TOT","YR","A","2021",83.9,
"CHE","LIFEEXP","TOT","YR","A","2022",83.5,"P"
"CHE","LIFEEXP","WOMEN","YR","A","2018",85.7,
"CHE","LIFEEXP","WOMEN","YR","A","2019",85.8,
"CHE","LIFEEXP","WOMEN","YR","A","2020",85.1,
"CHE","LIFEEXP","WOMEN","YR","A","2021",85.8,
"CHE","LIFEEXP","WOMEN","YR","A","2022",85.4,"P"
"TUR","LIFEEXP","MEN","YR","A","2018",75.6,
"TUR","LIFEEXP","MEN","YR","A","2019",75.9,
"TUR","LIFEEXP","TOT","YR","A","2018",78.3,
"TUR","LIFEEXP","TOT","YR","A","2019",78.6,
"TUR","LIFEEXP","WOMEN","YR","A","2018",81,
"TUR","LIFEEXP","WOMEN","YR","A","2019",81.3,
"GBR","LIFEEXP","MEN","YR","A","2018",79.2,
"GBR","LIFEEXP","MEN","YR","A","2019",79.6,
"GBR","LIFEEXP","MEN","YR","A","2020",78.4,
"GBR","LIFEEXP","TOT","YR","A","2018",81.1,"E"
"GBR","LIFEEXP","TOT","YR","A","2019",81.4,"E"
"GBR","LIFEEXP","TOT","YR","A","2020",80.4,"E"
"GBR","LIFEEXP","WOMEN","YR","A","2018",82.9,
"GBR","LIFEEXP","WOMEN","YR","A","2019",83.3,
"GBR","LIFEEXP","WOMEN","YR","A","2020",82.4,
"USA","LIFEEXP","MEN","YR","A","2018",76.2,
"USA","LIFEEXP","MEN","YR","A","2019",76.3,
"USA","LIFEEXP","MEN","YR","A","2020",74.2,
"USA","LIFEEXP","MEN","YR","A","2021",73.5,
"USA","LIFEEXP","TOT","YR","A","2018",78.7,
"USA","LIFEEXP","TOT","YR","A","2019",78.8,
"USA","LIFEEXP","TOT","YR","A","2020",77,
"USA","LIFEEXP","TOT","YR","A","2021",76.4,
"USA","LIFEEXP","WOMEN","YR","A","2018",81.2,
"USA","LIFEEXP","WOMEN","YR","A","2019",81.4,
"USA","LIFEEXP","WOMEN","YR","A","2020",79.9,
"USA","LIFEEXP","WOMEN","YR","A","2021",79.3,
"BRA","LIFEEXP","MEN","YR","A","2018",71.6,
"BRA","LIFEEXP","MEN","YR","A","2019",72,
"BRA","LIFEEXP","MEN","YR","A","2020",72.2,
"BRA","LIFEEXP","MEN","YR","A","2021",70.7,
"BRA","LIFEEXP","MEN","YR","A","2022",69.6,
"BRA","LIFEEXP","TOT","YR","A","2018",74.8,
"BRA","LIFEEXP","TOT","YR","A","2019",75.1,
"BRA","LIFEEXP","TOT","YR","A","2020",75.3,
"BRA","LIFEEXP","TOT","YR","A","2021",74,
"BRA","LIFEEXP","TOT","YR","A","2022",72.8,
"BRA","LIFEEXP","WOMEN","YR","A","2018",78,
"BRA","LIFEEXP","WOMEN","YR","A","2019",78.3,
"BRA","LIFEEXP","WOMEN","YR","A","2020",78.5,
"BRA","LIFEEXP","WOMEN","YR","A","2021",77.4,
"BRA","LIFEEXP","WOMEN","YR","A","2022",76,
"CHL","LIFEEXP","MEN","YR","A","2018",77.7,
"CHL","LIFEEXP","MEN","YR","A","2019",77.9,
"CHL","LIFEEXP","MEN","YR","A","2020",78.1,
"CHL","LIFEEXP","MEN","YR","A","2021",78.3,"P"
"CHL","LIFEEXP","MEN","YR","A","2022",78.5,"P"
"CHL","LIFEEXP","TOT","YR","A","2018",80.4,
"CHL","LIFEEXP","TOT","YR","A","2019",80.6,
"CHL","LIFEEXP","TOT","YR","A","2020",80.8,
"CHL","LIFEEXP","TOT","YR","A","2021",81,"P"
"CHL","LIFEEXP","TOT","YR","A","2022",81.2,"P"
"CHL","LIFEEXP","WOMEN","YR","A","2018",83.2,
"CHL","LIFEEXP","WOMEN","YR","A","2019",83.4,
"CHL","LIFEEXP","WOMEN","YR","A","2020",83.6,
"CHL","LIFEEXP","WOMEN","YR","A","2021",83.8,"P"
"CHL","LIFEEXP","WOMEN","YR","A","2022",84,"P"
"CHN","LIFEEXP","MEN","YR","A","2018",74.4,
"CHN","LIFEEXP","MEN","YR","A","2019",75,
"CHN","LIFEEXP","MEN","YR","A","2020",75.3,
"CHN","LIFEEXP","MEN","YR","A","2021",75.3,
"CHN","LIFEEXP","MEN","YR","A","2022",75.5,
"CHN","LIFEEXP","TOT","YR","A","2018",77.2,
"CHN","LIFEEXP","TOT","YR","A","2019",77.7,
"CHN","LIFEEXP","TOT","YR","A","2020",78,
"CHN","LIFEEXP","TOT","YR","A","2021",78.1,
"CHN","LIFEEXP","TOT","YR","A","2022",78.2,
"CHN","LIFEEXP","WOMEN","YR","A","2018",80.3,
"CHN","LIFEEXP","WOMEN","YR","A","2019",80.6,
"CHN","LIFEEXP","WOMEN","YR","A","2020",80.8,
"CHN","LIFEEXP","WOMEN","YR","A","2021",81.1,
"CHN","LIFEEXP","WOMEN","YR","A","2022",81.2,
"EST","LIFEEXP","MEN","YR","A","2018",74,
"EST","LIFEEXP","MEN","YR","A","2019",74.5,
"EST","LIFEEXP","MEN","YR","A","2020",74.4,
"EST","LIFEEXP","MEN","YR","A","2021",72.7,
"EST","LIFEEXP","MEN","YR","A","2022",73.7,"P"
"EST","LIFEEXP","TOT","YR","A","2018",78.5,
"EST","LIFEEXP","TOT","YR","A","2019",79,
"EST","LIFEEXP","TOT","YR","A","2020",78.9,
"EST","LIFEEXP","TOT","YR","A","2021",77.2,
"EST","LIFEEXP","TOT","YR","A","2022",78.2,"P"
"EST","LIFEEXP","WOMEN","YR","A","2018",82.7,
"EST","LIFEEXP","WOMEN","YR","A","2019",83,
"EST","LIFEEXP","WOMEN","YR","A","2020",83,
"EST","LIFEEXP","WOMEN","YR","A","2021",81.4,
"EST","LIFEEXP","WOMEN","YR","A","2022",82.4,"P"
"IND","LIFEEXP","MEN","YR","A","2018",69.2,
"IND","LIFEEXP","MEN","YR","A","2019",69.4,
"IND","LIFEEXP","MEN","YR","A","2020",69.5,
"IND","LIFEEXP","MEN","YR","A","2021",68.6,
"IND","LIFEEXP","MEN","YR","A","2022",65.8,
"IND","LIFEEXP","TOT","YR","A","2018",70.5,
"IND","LIFEEXP","TOT","YR","A","2019",70.7,
"IND","LIFEEXP","TOT","YR","A","2020",70.9,
"IND","LIFEEXP","TOT","YR","A","2021",70.2,
"IND","LIFEEXP","TOT","YR","A","2022",67.2,
"IND","LIFEEXP","WOMEN","YR","A","2018",71.9,
"IND","LIFEEXP","WOMEN","YR","A","2019",72.1,
"IND","LIFEEXP","WOMEN","YR","A","2020",72.4,
"IND","LIFEEXP","WOMEN","YR","A","2021",71.8,
"IND","LIFEEXP","WOMEN","YR","A","2022",68.9,
"IDN","LIFEEXP","MEN","YR","A","2018",68,
"IDN","LIFEEXP","MEN","YR","A","2019",68.3,
"IDN","LIFEEXP","MEN","YR","A","2020",68.5,
"IDN","LIFEEXP","MEN","YR","A","2021",66.7,
"IDN","LIFEEXP","MEN","YR","A","2022",65.5,
"IDN","LIFEEXP","TOT","YR","A","2018",69.9,
"IDN","LIFEEXP","TOT","YR","A","2019",70.3,
"IDN","LIFEEXP","TOT","YR","A","2020",70.5,
"IDN","LIFEEXP","TOT","YR","A","2021",68.8,
"IDN","LIFEEXP","TOT","YR","A","2022",67.6,
"IDN","LIFEEXP","WOMEN","YR","A","2018",71.9,
"IDN","LIFEEXP","WOMEN","YR","A","2019",72.4,
"IDN","LIFEEXP","WOMEN","YR","A","2020",72.6,
"IDN","LIFEEXP","WOMEN","YR","A","2021",71,
"IDN","LIFEEXP","WOMEN","YR","A","2022",69.7,
"ISR","LIFEEXP","MEN","YR","A","2018",80.9,
"ISR","LIFEEXP","MEN","YR","A","2019",81,
"ISR","LIFEEXP","MEN","YR","A","2020",80.6,
"ISR","LIFEEXP","MEN","YR","A","2021",80.5,
"ISR","LIFEEXP","MEN","YR","A","2022",80.9,"E"
"ISR","LIFEEXP","TOT","YR","A","2018",82.9,
"ISR","LIFEEXP","TOT","YR","A","2019",82.9,
"ISR","LIFEEXP","TOT","YR","A","2020",82.7,
"ISR","LIFEEXP","TOT","YR","A","2021",82.6,
"ISR","LIFEEXP","TOT","YR","A","2022",82.9,"E"
"ISR","LIFEEXP","WOMEN","YR","A","2018",84.8,
"ISR","LIFEEXP","WOMEN","YR","A","2019",84.7,
"ISR","LIFEEXP","WOMEN","YR","A","2020",84.8,
"ISR","LIFEEXP","WOMEN","YR","A","2021",84.6,
"ISR","LIFEEXP","WOMEN","YR","A","2022",84.9,"E"
"RUS","LIFEEXP","MEN","YR","A","2018",67.8,
"RUS","LIFEEXP","MEN","YR","A","2019",68.2,
"RUS","LIFEEXP","TOT","YR","A","2018",72.8,
"RUS","LIFEEXP","TOT","YR","A","2019",73.2,
"RUS","LIFEEXP","WOMEN","YR","A","2018",77.8,
"RUS","LIFEEXP","WOMEN","YR","A","2019",78.2,
"SVN","LIFEEXP","MEN","YR","A","2018",78.5,
"SVN","LIFEEXP","MEN","YR","A","2019",78.7,
"SVN","LIFEEXP","MEN","YR","A","2020",77.8,
"SVN","LIFEEXP","MEN","YR","A","2021",77.7,
"SVN","LIFEEXP","MEN","YR","A","2022",78.6,"P"
"SVN","LIFEEXP","TOT","YR","A","2018",81.5,
"SVN","LIFEEXP","TOT","YR","A","2019",81.6,
"SVN","LIFEEXP","TOT","YR","A","2020",80.6,
"SVN","LIFEEXP","TOT","YR","A","2021",80.7,
"SVN","LIFEEXP","TOT","YR","A","2022",81.3,"P"
"SVN","LIFEEXP","WOMEN","YR","A","2018",84.4,
"SVN","LIFEEXP","WOMEN","YR","A","2019",84.5,
"SVN","LIFEEXP","WOMEN","YR","A","2020",83.4,
"SVN","LIFEEXP","WOMEN","YR","A","2021",83.8,
"SVN","LIFEEXP","WOMEN","YR","A","2022",84.1,"P"
"ZAF","LIFEEXP","MEN","YR","A","2018",62,
"ZAF","LIFEEXP","MEN","YR","A","2019",62.2,
"ZAF","LIFEEXP","MEN","YR","A","2020",62.8,
"ZAF","LIFEEXP","MEN","YR","A","2021",62.2,
"ZAF","LIFEEXP","MEN","YR","A","2022",59.5,
"ZAF","LIFEEXP","TOT","YR","A","2018",65.4,
"ZAF","LIFEEXP","TOT","YR","A","2019",65.7,
"ZAF","LIFEEXP","TOT","YR","A","2020",66.2,
"ZAF","LIFEEXP","TOT","YR","A","2021",65.3,
"ZAF","LIFEEXP","TOT","YR","A","2022",62.3,
"ZAF","LIFEEXP","WOMEN","YR","A","2018",68.4,
"ZAF","LIFEEXP","WOMEN","YR","A","2019",68.7,
"ZAF","LIFEEXP","WOMEN","YR","A","2020",69.1,
"ZAF","LIFEEXP","WOMEN","YR","A","2021",68,
"ZAF","LIFEEXP","WOMEN","YR","A","2022",65,
"COL","LIFEEXP","MEN","YR","A","2018",73.3,
"COL","LIFEEXP","MEN","YR","A","2019",73.5,
"COL","LIFEEXP","MEN","YR","A","2020",73.6,
"COL","LIFEEXP","MEN","YR","A","2021",73.7,
"COL","LIFEEXP","MEN","YR","A","2022",73.8,
"COL","LIFEEXP","TOT","YR","A","2018",76.5,
"COL","LIFEEXP","TOT","YR","A","2019",76.6,
"COL","LIFEEXP","TOT","YR","A","2020",76.7,
"COL","LIFEEXP","TOT","YR","A","2021",76.8,
"COL","LIFEEXP","TOT","YR","A","2022",76.9,
"COL","LIFEEXP","WOMEN","YR","A","2018",79.8,
"COL","LIFEEXP","WOMEN","YR","A","2019",79.9,
"COL","LIFEEXP","WOMEN","YR","A","2020",80,
"COL","LIFEEXP","WOMEN","YR","A","2021",80,
"COL","LIFEEXP","WOMEN","YR","A","2022",80.1,
"LVA","LIFEEXP","MEN","YR","A","2018",70.1,
"LVA","LIFEEXP","MEN","YR","A","2019",70.9,
"LVA","LIFEEXP","MEN","YR","A","2020",70.6,
"LVA","LIFEEXP","MEN","YR","A","2021",68.2,
"LVA","LIFEEXP","MEN","YR","A","2022",69.8,"P"
"LVA","LIFEEXP","TOT","YR","A","2018",75.1,
"LVA","LIFEEXP","TOT","YR","A","2019",75.7,
"LVA","LIFEEXP","TOT","YR","A","2020",75.5,
"LVA","LIFEEXP","TOT","YR","A","2021",73.1,
"LVA","LIFEEXP","TOT","YR","A","2022",74.8,"P"
"LVA","LIFEEXP","WOMEN","YR","A","2018",79.7,
"LVA","LIFEEXP","WOMEN","YR","A","2019",80.1,
"LVA","LIFEEXP","WOMEN","YR","A","2020",80,
"LVA","LIFEEXP","WOMEN","YR","A","2021",78,
"LVA","LIFEEXP","WOMEN","YR","A","2022",79.6,"P"
"LTU","LIFEEXP","MEN","YR","A","2018",70.9,
"LTU","LIFEEXP","MEN","YR","A","2019",71.6,
"LTU","LIFEEXP","MEN","YR","A","2020",70.1,
"LTU","LIFEEXP","MEN","YR","A","2021",69.5,
"LTU","LIFEEXP","MEN","YR","A","2022",71.5,"P"
"LTU","LIFEEXP","TOT","YR","A","2018",76,
"LTU","LIFEEXP","TOT","YR","A","2019",76.5,
"LTU","LIFEEXP","TOT","YR","A","2020",75.1,
"LTU","LIFEEXP","TOT","YR","A","2021",74.2,
"LTU","LIFEEXP","TOT","YR","A","2022",76,"P"
"LTU","LIFEEXP","WOMEN","YR","A","2018",80.7,
"LTU","LIFEEXP","WOMEN","YR","A","2019",81.2,
"LTU","LIFEEXP","WOMEN","YR","A","2020",80.1,
"LTU","LIFEEXP","WOMEN","YR","A","2021",78.8,
"LTU","LIFEEXP","WOMEN","YR","A","2022",80.3,"P"
"CRI","LIFEEXP","MEN","YR","A","2018",77.8,
"CRI","LIFEEXP","MEN","YR","A","2019",77.9,
"CRI","LIFEEXP","MEN","YR","A","2020",78.1,
"CRI","LIFEEXP","MEN","YR","A","2021",78.2,
"CRI","LIFEEXP","MEN","YR","A","2022",78.3,
"CRI","LIFEEXP","TOT","YR","A","2018",80.3,
"CRI","LIFEEXP","TOT","YR","A","2019",80.5,
"CRI","LIFEEXP","TOT","YR","A","2020",80.6,
"CRI","LIFEEXP","TOT","YR","A","2021",80.8,
"CRI","LIFEEXP","TOT","YR","A","2022",80.9,
"CRI","LIFEEXP","WOMEN","YR","A","2018",82.9,
"CRI","LIFEEXP","WOMEN","YR","A","2019",83,
"CRI","LIFEEXP","WOMEN","YR","A","2020",83.2,
"CRI","LIFEEXP","WOMEN","YR","A","2021",83.3,
"CRI","LIFEEXP","WOMEN","YR","A","2022",83.5,
"ARG","LIFEEXP","MEN","YR","A","2018",73.5,
"ARG","LIFEEXP","MEN","YR","A","2019",73.6,
"ARG","LIFEEXP","MEN","YR","A","2020",73.9,
"ARG","LIFEEXP","MEN","YR","A","2021",72.5,
"ARG","LIFEEXP","MEN","YR","A","2022",72.2,
"ARG","LIFEEXP","TOT","YR","A","2018",76.8,
"ARG","LIFEEXP","TOT","YR","A","2019",77,
"ARG","LIFEEXP","TOT","YR","A","2020",77.3,
"ARG","LIFEEXP","TOT","YR","A","2021",75.9,
"ARG","LIFEEXP","TOT","YR","A","2022",75.4,
"ARG","LIFEEXP","WOMEN","YR","A","2018",80.1,
"ARG","LIFEEXP","WOMEN","YR","A","2019",80.3,
"ARG","LIFEEXP","WOMEN","YR","A","2020",80.7,
"ARG","LIFEEXP","WOMEN","YR","A","2021",79.3,
"ARG","LIFEEXP","WOMEN","YR","A","2022",78.6,
"BGR","LIFEEXP","MEN","YR","A","2018",71.5,
"BGR","LIFEEXP","MEN","YR","A","2019",71.6,
"BGR","LIFEEXP","MEN","YR","A","2020",70,
"BGR","LIFEEXP","MEN","YR","A","2021",68,
"BGR","LIFEEXP","MEN","YR","A","2022",70.8,"P"
"BGR","LIFEEXP","TOT","YR","A","2018",75,
"BGR","LIFEEXP","TOT","YR","A","2019",75.1,
"BGR","LIFEEXP","TOT","YR","A","2020",73.6,
"BGR","LIFEEXP","TOT","YR","A","2021",71.4,
"BGR","LIFEEXP","TOT","YR","A","2022",74.3,"P"
"BGR","LIFEEXP","WOMEN","YR","A","2018",78.6,
"BGR","LIFEEXP","WOMEN","YR","A","2019",78.8,
"BGR","LIFEEXP","WOMEN","YR","A","2020",77.5,
"BGR","LIFEEXP","WOMEN","YR","A","2021",75.1,
"BGR","LIFEEXP","WOMEN","YR","A","2022",78.1,"P"
"HRV","LIFEEXP","MEN","YR","A","2018",74.9,
"HRV","LIFEEXP","MEN","YR","A","2019",75.5,
"HRV","LIFEEXP","MEN","YR","A","2020",74.7,
"HRV","LIFEEXP","MEN","YR","A","2021",73.6,
"HRV","LIFEEXP","MEN","YR","A","2022",74.6,"P"
"HRV","LIFEEXP","TOT","YR","A","2018",78.2,
"HRV","LIFEEXP","TOT","YR","A","2019",78.6,
"HRV","LIFEEXP","TOT","YR","A","2020",77.8,
"HRV","LIFEEXP","TOT","YR","A","2021",76.7,
"HRV","LIFEEXP","TOT","YR","A","2022",77.7,"P"
"HRV","LIFEEXP","WOMEN","YR","A","2018",81.5,
"HRV","LIFEEXP","WOMEN","YR","A","2019",81.6,
"HRV","LIFEEXP","WOMEN","YR","A","2020",80.9,
"HRV","LIFEEXP","WOMEN","YR","A","2021",79.8,
"HRV","LIFEEXP","WOMEN","YR","A","2022",80.8,"P"
"PER","LIFEEXP","MEN","YR","A","2018",73.7,
"PER","LIFEEXP","MEN","YR","A","2019",73.8,
"PER","LIFEEXP","MEN","YR","A","2020",73.9,
"PER","LIFEEXP","MEN","YR","A","2021",70.8,
"PER","LIFEEXP","MEN","YR","A","2022",70.1,
"PER","LIFEEXP","TOT","YR","A","2018",75.9,
"PER","LIFEEXP","TOT","YR","A","2019",76,
"PER","LIFEEXP","TOT","YR","A","2020",76.2,
"PER","LIFEEXP","TOT","YR","A","2021",73.7,
"PER","LIFEEXP","TOT","YR","A","2022",72.4,
"PER","LIFEEXP","WOMEN","YR","A","2018",78.1,
"PER","LIFEEXP","WOMEN","YR","A","2019",78.3,
"PER","LIFEEXP","WOMEN","YR","A","2020",78.5,
"PER","LIFEEXP","WOMEN","YR","A","2021",76.8,
"PER","LIFEEXP","WOMEN","YR","A","2022",74.7,
"ROU","LIFEEXP","MEN","YR","A","2018",71.7,
"ROU","LIFEEXP","MEN","YR","A","2019",71.9,
"ROU","LIFEEXP","MEN","YR","A","2020",70.4,
"ROU","LIFEEXP","MEN","YR","A","2021",69.2,
"ROU","LIFEEXP","MEN","YR","A","2022",71.5,"P"
"ROU","LIFEEXP","TOT","YR","A","2018",75.3,
"ROU","LIFEEXP","TOT","YR","A","2019",75.6,
"ROU","LIFEEXP","TOT","YR","A","2020",74.2,
"ROU","LIFEEXP","TOT","YR","A","2021",72.8,
"ROU","LIFEEXP","TOT","YR","A","2022",75.3,"P"
"ROU","LIFEEXP","WOMEN","YR","A","2018",79.2,
"ROU","LIFEEXP","WOMEN","YR","A","2019",79.5,
"ROU","LIFEEXP","WOMEN","YR","A","2020",78.3,
"ROU","LIFEEXP","WOMEN","YR","A","2021",76.6,
"ROU","LIFEEXP","WOMEN","YR","A","2022",79.3,"P"
